1022	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	3	4	4	
Non-Redundancy	3	4	4	
Referential Clarity	5	2	3	
Focus	3	3	4	
Structure	3	4	4	
Coherence	2	3	4	
Readability	2	2	4	
Information Content	4	5	3	
Spelling	5	2	3	
Length	5	3	5	
Overall Quality	3	5	4	
