1005	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	4	3	3	
Non-Redundancy	5	4	3	
Referential Clarity	4	3	3	
Focus	4	4	4	
Structure	3	3	3	
Coherence	3	3	3	
Readability	4	3	3	
Information Content	4	4	4	
Spelling	5	1	4	
Length	5	3	4	
Overall Quality	4		3	
