1005	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)	
Grammaticality	5	4	5		
Non-Redundancy	5	4	5		
Referential Clarity	4	4	5	not sure what role the 8 year old girl plays	
Focus	4	5	5		
Structure	4	4	5		
Coherence	3	4	5	line 8 and 9 feel like contradicting themselves	
Readability	5	5	5		
Information Content	5	5	5		
Spelling	5	3	5		
Length	4	3	5		
Overall Quality	4	5	5		
