1017	"Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)"	"Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)"	"Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) "	"Reasons/comments (free text)"
"Grammaticality"	5	2	5	
"Non-Redundancy"	4	3	5	"Z. 4 und 5: in beiden, dass es “loans” ohne “co-signer” gibt"
"Referential Clarity"	4	5	5	"Z. 7: welcher “type”?"
"Focus"	5	5	5	
"Structure"	2	5	5	"Z. 6 z.B. würde für mich an den Anfang gehören"
"Coherence"	2	5	5	
"Readability"	3	5	5	
"Information Content"	5	5	5	
"Spelling"	5	1	5	
"Length"	5	2	2	
"Overall Quality"	3	5	5	"die Nuggets waren größtenteils ganz gut, aber für ein besseres Verständnis sollte die Reihenfolge verbessert werden"
