1048	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high)	Reasons/comments (free text)
Grammaticality	3	4	4	Part of a sentence is in the summary
Non-Redundancy	4	3	4	
Referential Clarity	3	3	3	One unresolved reference
Focus	4	4	3	
Structure	3	3	2	
Coherence	3	4	4	 
Readability	4	3	4	
Information Content	4	4	4	
Spelling	4	3	3	
Length	2	3	3	
Overall Quality	4	4	4	
