1022	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	3	4	5	one broken sentence
Non-Redundancy	3	3	3	
Referential Clarity	4	3	3	
Focus	3	2	2	
Structure	3	4	5	good beginning
Coherence	1	4	5	
Readability	3	2	3	
Information Content	4	3	2	
Spelling	5	2	5	
Length	5	4	4	
Overall Quality	3	2	3	
