1036	"Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)"	"Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)"	"Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) "	"Reasons/comments (free text)"
"Grammaticality"	4	2	5	"Z.8, keine Trennung des Satzes von der Überschrift davor"
"Non-Redundancy"	5	3	5	
"Referential Clarity"	5	5	5	
"Focus"	5	5	5	
"Structure"	2	5	5	"Z.3 schlechte Einleitung; irgendwie keine richtige Struktur"
"Coherence"	4	5	5	"Z.5 “And” was?; Trotz wenig Struktur passen die Sätze irgendwie zusammen"
"Readability"	4	5	5	"dank der Kohärenz"
"Information Content"	5	5	5	
"Spelling"	5	1	5	
"Length"	5	2	2	
"Overall Quality"	4	5	5	"wegen der fehlenden Struktur gibt es einen Punkt Abzug"
