1030	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high)	Reasons/comments (free text)
Grammaticality	3	2	4	
Non-Redundancy	4	2	3	
Referential Clarity	4	2	4	
Focus	4	3	4	
Structure	3	3	3	
Coherence	3	3	3	
Readability	3	4	3	
Information Content	3	5	3	
Spelling	4	2	2	
Length	3	2	2	
Overall Quality	3	4	3	
