1050	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	4	2	3	
Non-Redundancy	4	3	3	
Referential Clarity	4	3	3	
Focus	4	3	3	
Structure	3	4	3	
Coherence	3	3	3	
Readability	3	3	3	
Information Content	4	3	2	
Spelling	5	1	3	
Length	5	2	3	
Overall Quality	3		2	
