1045	"Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)"	"Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)"	"Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) "	"Reasons/comments (free text)"
"Grammaticality"	5	2	5	
"Non-Redundancy"	5	3	5	
"Referential Clarity"	5	5	5	
"Focus"	2	5	5	"das Thema geht nicht aus der Summary selbst hervor; Die Hälfte der Sätze hat nichts mit Mobiltelfonen zu tun"
"Structure"	2	5	5	"relativ beliebige Reihenfolge der Sätze"
"Coherence"	2	5	5	"relativ beliebige Reihenfolge der Sätze"
"Readability"	3	5	5	
"Information Content"	5	5	5	"Problem: bei der Hälfte der Sätze geht es nicht um das eigentliche Thema, dadurch werden die Informationen wertlos"
"Spelling"	5	1	5	
"Length"	5	2	2	
"Overall Quality"	2	5	5	"durch viele überflüssige Sätze und wenig Struktur"
