1005	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high)	Reasons/comments (free text)
Grammaticality	4	2	3	
Non-Redundancy	4	4	4	2 sentences slightly redundant
Referential Clarity	3	2	3	Reference to another person that is unresolved
Focus	5	4	4	
Structure	3	3	3	
Coherence	3	3	3	Could be improved by simple reordering
Readability	4	4	4	
Information Content	4	4	4	
Spelling	5	1	4	
Length	4	3	1	
Overall Quality	4	4	4	
