1037	"Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)"	"Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)"	"Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) "	"Reasons/comments (free text)"
"Grammaticality"	5	4	5	
"Non-Redundancy"	5	5	5	
"Referential Clarity"	4	5	5	"""K4"" in sentence 6 is not explained"
"Focus"	4	5	3	"The last sentence is out of the topic ""the right age to enter kindergarten/school"""
"Structure"	4	4	3	"Subtopics are mixed up - therefore, the structure is not that good"
"Coherence"	5	4	4	
"Readability"	5	4	5	
"Information Content"	5	5	4	
"Spelling"	5	4	5	
"Length"	5	5	5	
"Overall Quality"	5	5	3	
