1029	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	4	4	4	
Non-Redundancy	2	2	3	
Referential Clarity	2	3	2	Switch of reference
Focus	3	5	3	
Structure	3	5	3	
Coherence	2	5	2	
Readability	3	4	2	
Information Content	4	4	3	
Spelling	5	3	5	
Length	5	1	4	
Overall Quality	3	5	3	
