1002	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	5	4	4	
Non-Redundancy	5	2	5	
Referential Clarity	3	4	5	"""her"" without reference"
Focus	2	4	5	
Structure	2	4	5	
Coherence	1	4	5	
Readability	4	4	4	
Information Content	2	5	4	
Spelling	3	4	4	"""there"" instead of ""their"", special characters not displayed"
Length	2	3	5	too long
Overall Quality	2	5	5	
