1049	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	5	3	5	
Non-Redundancy	5	3	5	
Referential Clarity	5	1	5	
Focus	2	3	4	
Structure	4	3	4	
Coherence	2	3	4	
Readability	5	4	5	
Information Content	5	3	5	
Spelling	5	3	5	
Length	4	3	5	
Overall Quality	4	3	5	
