1005	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	5	3	5	
Non-Redundancy	5	3	5	
Referential Clarity	3	5	5	"Who is ""Sears""?"
Focus	3	4	3	erratic
Structure	3	2	3	
Coherence	4	4	4	
Readability	4	3	2	
Information Content	4	4	4	opinions included
Spelling	4	3	5	
Length	4	2	5	
Overall Quality	4	3	3	
