1023	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	4	4	5	First sentence is not grammatical.
Non-Redundancy	5	5	3	
Referential Clarity	5	5	5	
Focus	4	5	4	The summary is not only about “parents involvement dealing with bullying” as claimed above as topic of the summary
Structure	3	4	4	Topics are mixed up and there is no clear structure and compilation of sentences belonging to the same topic
Coherence	4	4	4	After sentence 3 one might expect an enumeration of the different forms.
Readability	5	4	4	
Information Content	4	5	3	
Spelling	4	4	5	Many words in the first sentence are capitalized for no reason. Space before the period in the 2nd sentence
Length	5	5	5	
Overall Quality	4	5	4	
