1039	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high)	Reasons/comments (free text)	
Grammaticality	4	2	4		
Non-Redundancy	4	2	4		
Referential Clarity	3	3	5	One unresloved reference	
Focus	3	4	4		
Structure	3	3	3		
Coherence	2	3	4		
Readability	4	2	5		
Information Content	3	4	4		
Spelling	4	3	4	One space to much	
Length	1	3	4	substantially to long	
Overall Quality	3	5	4		
