1039	"Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)"	"Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)"	"Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) "	"Reasons/comments (free text)"
"Grammaticality"	5	2	5	
"Non-Redundancy"	5	3	5	
"Referential Clarity"	4	5	5	"Probleme: Z.8 Wie und warum sind die Kinder behandelt worden?"
"Focus"	3	5	5	"Z. 7 und 8: wie spielen die Psychater da mit rein?"
"Structure"	3	5	5	
"Coherence"	3	5	5	"Probleme: Übergang zu Z.7, generell sind Übergänge holprig"
"Readability"	5	5	5	
"Information Content"	4	5	5	"Z.7 und 8 sind in dem Kontext nnicht verstädlich und leifern deshalb auch keine Informationen"
"Spelling"	5	1	5	
"Length"	4	2	2	
"Overall Quality"	3	5	5	
