1036	"Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)"	"Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)"	"Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) "	"Reasons/comments (free text)"
"Grammaticality"	4	4	5	"The 6th sentence is ungrammatical (it seems that this line contains multiple sentences which are not separated suitably with punctuation)"
"Non-Redundancy"	5	5	4	
"Referential Clarity"	4	5	5	"Unclear “Their” at the beginning of the 4th sentence"
"Focus"	4	5	5	"Not that much focussed on the parents of shy kids, rather on shy kids in common"
"Structure"	4	4	4	
"Coherence"	5	4	3	
"Readability"	5	4	4	
"Information Content"	5	5	4	
"Spelling"	4	4	4	"Uppercased words in sentence 6 for no reason"
"Length"	5	5	5	
"Overall Quality"	4	5	3	
