1015	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high)	Reasons/comments (free text)	
Grammaticality	4	3	4		 
Non-Redundancy	4	3	4		
Referential Clarity	4	3	4		
Focus	4	2	4		
Structure	3	3	3		
Coherence	4	4	4		
Readability	3	4	4		
Information Content	5	4	4		
Spelling	2	2	3		
Length	3	2	2		
Overall Quality	4	4	4		
