1036	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high)	Reasons/comments (free text)
Grammaticality	2	4	4	
Non-Redundancy	4	3	4	
Referential Clarity	2	2	3	
Focus	3	3	3	
Structure	2	3	3	
Coherence	2	3	3	
Readability	3	2	2	
Information Content	3	3	4	
Spelling	4	2	4	
Length	3	2	3	
Overall Quality	2	3	3	
