1008	"Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)"	"Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)"	"Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) "	"Reasons/comments (free text)"
"Grammaticality"	5	2	5	
"Non-Redundancy"	5	3	5	
"Referential Clarity"	2	5	5	"Z. 6: welche “separation”?; Z. 9: in welchem Zusammenhang ist das der Fall?"
"Focus"	5	5	5	
"Structure"	3	5	5	
"Coherence"	2	5	5	
"Readability"	3	5	5	
"Information Content"	3	5	5	
"Spelling"	4	1	5	"In Z.7 fehlt ein Punkt?"
"Length"	3	2	2	
"Overall Quality"	3	5	5	"die ersten drei Sätze sind sehr gut, aber danach verliert die Zusammenfassung an Qualität. Es ist nicht klar, wie die Sätze in Z. 6-9 zusammenhängen und zum Thema passen."
