1016	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	5	4	5	
Non-Redundancy	4	5	2	 The 4th and last sentence are highly equal
Referential Clarity	4	5	3	It is not clear what OSA is?
Focus	4	5	3	
Structure	3	4	3	
Coherence	3	5	4	No good relationship between the sentences
Readability	4	4	4	
Information Content	4	5	3	The first sentence delivers no information since you do not know what OSA is.
Spelling	5	4	5	
Length	5	5	5	
Overall Quality	3	5	5	
