1029	"Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)"	"Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)"	"Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) "	"Reasons/comments (free text)"
"Grammaticality"	5	2	5	"viele Imperative als Ratschläge, aber ok"
"Non-Redundancy"	4	3	5	"Z.4 und 6: beide Male Ratschlag, mit den Kindern zu reden"
"Referential Clarity"	3	5	5	"Z. 10: Worauf soll man achten?, Z.9 Wobei soll man das beachten?"
"Focus"	5	5	5	
"Structure"	3	5	5	"Einleitung ist gut. Z.4, 6, 8 gehören meiner Meinung nach zusammen"
"Coherence"	4	5	5	"Z. 7 passt nicht in den Textfluss"
"Readability"	4	5	5	"liest sich wie ein Ratgeber"
"Information Content"	4	5	5	
"Spelling"	5	1	5	
"Length"	5	2	2	
"Overall Quality"	4	5	5	
