1004	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	5	4	5	
Non-Redundancy	5	4	5	
Referential Clarity	5	4	5	
Focus	5	5	4	
Structure	4	4	4	Within the therapy content in the sentences 5 and 7 the 6th sentence is not fitting
Coherence	4	4	3	
Readability	5	4	4	
Information Content	5	5	4	
Spelling	4	4	4	Space before the period in the 1st sentence
Length	5	4	5	
Overall Quality	5	5	4	
