1003	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	5	4	5	
Non-Redundancy	5	5	5	
Referential Clarity	5	4	5	
Focus	4	5	5	
Structure	4	3	3	
Coherence	4	3	3	
Readability	5	4	5	
Information Content	5	5	5	
Spelling	4	4	5	Teacher is uppercased in the 1st and a space before the comma in the second sentence
Length	5	4	5	
Overall Quality	5	5	4	
