1040	"Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)"	"Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)"	"Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) "	"Reasons/comments (free text)"
"Grammaticality"	4	2	5	"Z.10 unvollständiger Satz, Konjunktion fehlt?"
"Non-Redundancy"	5	3	5	
"Referential Clarity"	5	5	5	
"Focus"	5	5	5	
"Structure"	2	5	5	"erster Satz ist eine gute Einleitung; danach stehen theamtisch zusammenhängende Sätze leider nicht zusammen"
"Coherence"	2	5	5	
"Readability"	3	5	5	"die gute Auswahl der Sätze gleicht fehlende Struktur wohl aus"
"Information Content"	5	5	5	
"Spelling"	5	1	5	
"Length"	5	2	2	
"Overall Quality"	3	5	5	
