1034	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	5	2	5	
Non-Redundancy	5	3	4	
Referential Clarity	5	1	5	
Focus	4	4	4	
Structure	3	3	4	
Coherence	3	3	3	
Readability	4	3	4	
Information Content	4	5	4	
Spelling	3	3	4	
Length	5	2	5	
Overall Quality	4	5	3	
