1032	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	4	3	3	
Non-Redundancy	3	3	4	
Referential Clarity	2	3	5	
Focus	2	4	5	
Structure	2	4	4	
Coherence	2	4	4	
Readability	3	5	4	
Information Content	2	5	4	
Spelling	4	1	5	
Length	5	1	5	
Overall Quality	2		5	
