1020	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	1	4	4	
Non-Redundancy	1	4	4	
Referential Clarity	4	1	4	
Focus	3	3	4	
Structure	3	2	3	
Coherence	2	4	4	
Readability	1	5	5	
Information Content	2	5	5	
Spelling	2	4	4	
Length	4	3	5	
Overall Quality	1	5	5	redundancy, non-readable symbols, partial sentences, this one has it all.
