1005	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	4	4	4	
Non-Redundancy	5	4	4	
Referential Clarity	3	5	4	who is sarah?
Focus	4	4	4	
Structure	4	4	4	
Coherence	4	4	4	
Readability	4	3	4	
Information Content	2	5	4	
Spelling	3	4	4	only one quotation mark in first line
Length	4	4	3	
Overall Quality	3	5	4	
