1034	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	2	4	4	Seems to be to long and the last two sentences have no ending punctuation
Non-Redundancy	1	5	5	
Referential Clarity	4	5	5	
Focus	3	4	4	
Structure	2	4	4	
Coherence	1	4	3	
Readability	1	4	5	Same beginning
Information Content	1	3	4	Hard repetition of arguments, similar sentences
Spelling	2	4	4	Seems to be to long and the last two sentences have no ending punctuation
Length	2	4	5	Seems to be to long and the last two sentences have no ending punctuation
Overall Quality	2	5	4	
