1026	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	2	4	5	missing punctuation
Non-Redundancy	5	2	5	
Referential Clarity	2	4	5	"What are ""ICT"", ""KS3"""
Focus	2	3	4	no relationship to topic
Structure	2	3	4	
Coherence	1	4	4	
Readability	2	4	4	
Information Content	1	4	4	
Spelling	2	5	5	some words in capital letters
Length	3	4	3	
Overall Quality	1	4	4	
