1032	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high)	Reasons/comments (free text)
Grammaticality	2	2	3	
Non-Redundancy	3	2	3	
Referential Clarity	1	3	4	
Focus	1	3	4	
Structure	1	3	3	
Coherence	1	3	3	
Readability	1	4	4	
Information Content	1	4	4	
Spelling	4	3	2	
Length	2	2	2	
Overall Quality	1	4	4	
