1045	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	4	3	4	
Non-Redundancy	5	3	4	
Referential Clarity	4	3	4	
Focus	4	3	4	
Structure	3	3	4	
Coherence	3	3	4	
Readability	2	5	5	Single, rly long sentence
Information Content	2	5	4	
Spelling	4	3	4	
Length	4	3	3	
Overall Quality	3	5	5	
