1018	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	5	2	5	
Non-Redundancy	2	5	5	"2 x ""Bad credit student loans without cosigner """
Referential Clarity	2	5	5	What is FDSLP?
Focus	3	3	4	
Structure	2	4	3	
Coherence	1	4	4	
Readability	3	2	2	
Information Content	4	2	4	
Spelling	3	4	5	"""Students"" wrote in capital letter"
Length	3	4	4	
Overall Quality	3	3	3	
