1012	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	5	2	5	
Non-Redundancy	5	2	5	
Referential Clarity	5	2	5	
Focus	2	3	2	
Structure	2	3	3	
Coherence	1	4	4	
Readability	3	4	3	
Information Content	3	3	3	
Spelling	5	2	5	
Length	1	5	5	way too long sentences
Overall Quality	2	2	3	
