1023	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high)	Reasons/comments (free text)	
Grammaticality	5	3	5		
Non-Redundancy	5	3	5		
Referential Clarity	2	5	5		
Focus	2	3	2		
Structure	4	2	3		
Coherence	3	2	3		
Readability	4	3	4		
Information Content	2	5	5		
Spelling	5	3	5		
Length	3	1	4		
Overall Quality	3	5	3		
