1042	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	4	3	5	missing punctuation
Non-Redundancy	5	2	5	
Referential Clarity	5	2	5	
Focus	3	2	4	
Structure	3	3	3	
Coherence	2	3	4	
Readability	1	4	3	sequence number
Information Content	3	3	3	
Spelling	5	2	5	
Length	1	4	5	way too long sentences
Overall Quality	2	4	4	
