1007	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	2	4	3	The first two sentences have are not grammatical. Seems as if there are left some words or punctuation out
Non-Redundancy	4	5	4	
Referential Clarity	5	5	5	
Focus	3	5	4	
Structure	2	5	4	In the last line a breathing technique is introduced but only a part of it is explained. 
Coherence	4	5	3	
Readability	3	4	3	The first two sentences are hardly readable
Information Content	2	5	4	No real gain of information in the first two sentences
Spelling	2	4	4	Uppercased words in for no reason
Length	4	5	4	About only 450 characters. 
Overall Quality	2	5	3	
