1030	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	3	3	4	
Non-Redundancy	4	2	5	
Referential Clarity	1	4	5	Long who is presumably a person is mentioned without explenation
Focus	3	2	4	
Structure	2	5	4	
Coherence	3	3	3	
Readability	3	3	3	
Information Content	4	3	3	
Spelling	5	1	5	
Length	4	3	5	
Overall Quality	2	4	5	
