1027	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	5	4	5	
Non-Redundancy	5	3	4	
Referential Clarity	5	5	4	
Focus	3	5	3	It is not that clear on what topic this summary is focussing.
Structure	2	4	3	There is no structure apparent
Coherence	4	4	2	No relationship between the sentences
Readability	5	4	4	
Information Content	4	5	4	
Spelling	5	4	5	
Length	5	5	5	
Overall Quality	3	5	3	
