1050	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	5	2	5	
Non-Redundancy	5	2	5	
Referential Clarity	3	4	5	
Focus	2	4	5	
Structure	3	3	5	
Coherence	1	5	5	in sentence three the content changes mid sentence
Readability	3	3	5	
Information Content	2	3	5	
Spelling	5	1	5	
Length	3	3	5	
Overall Quality	2	4	5	
