1029	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high)	Reasons/comments (free text)
Grammaticality	2	4	4	"First sentence and sentence starting with ""or""."
Non-Redundancy	3	3	4	
Referential Clarity	3	3	3	
Focus	2	4	4	
Structure	3	3	3	
Coherence	3	3	3	
Readability	3	4	5	
Information Content	2	4	5	
Spelling	4	3	3	
Length	3	3	2	
Overall Quality	2	3	4	
