1042	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high)	Reasons/comments (free text)	
Grammaticality	2	3	4	Part of list in summary	
Non-Redundancy	4	2	3		
Referential Clarity	4	3	5		
Focus	4	3	4		
Structure	3	2	3		
Coherence	2	3	4		
Readability	3	4	4	very long sentece	
Information Content	4	4	4		
Spelling	4	1	3		
Length	2	3	4		
Overall Quality	4	4	3		
