1002	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	5	1	5	
Non-Redundancy	3	3	5	
Referential Clarity	5	1	5	
Focus	2	3	5	
Structure	2	3	5	
Coherence	1	3	5	only two sentences
Readability	5	1	5	
Information Content	2	3	5	
Spelling	4	2	5	
Length	1	3	5	
Overall Quality	2	5	4	
