1027	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	4	2	4	
Non-Redundancy	3	2	4	
Referential Clarity	2	4	4	
Focus	3	4	4	
Structure	4	3	4	
Coherence	4	2	4	
Readability	3	4	4	
Information Content	3	5	4	
Spelling	5	3	4	
Length	2	3	5	
Overall Quality	3	5	4	
