1044	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high)	Reasons/comments (free text)	
Grammaticality	3	3	4	Part of list in summary	
Non-Redundancy	2	4	4	keeps talking about obesity causing asthma	
Referential Clarity	2	4	5		
Focus	2	4	4		
Structure	4	3	4		
Coherence	4	2	4		
Readability	3	3	3		
Information Content	2	4	4		
Spelling	3	3	3		
Length	4	1	2		
Overall Quality	2	4	2		
