1047	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	5	2	5	
Non-Redundancy	2	4	4	Sentence duplicate
Referential Clarity	5	3	4	
Focus	4	3	1	
Structure	2	4	3	
Coherence	3	3	2	
Readability	3	3	3	
Information Content	1	5	5	
Spelling	5	2	4	
Length	1	3	3	too short
Overall Quality	2	3	4	
