1011	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high)	Reasons/comments (free text)
Grammaticality	2	4	3	
Non-Redundancy	4	1	3	
Referential Clarity	2	2	2	
Focus	3	1	2	
Structure	2	1	2	
Coherence	2	4	3	
Readability	2	4	3	
Information Content	2	5	4	
Spelling	4	1	1	
Length	1	1	1	
Overall Quality	2	4	3	
