1006	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high)	Reasons/comments (free text)
Grammaticality	3	1	2	Random quotes
Non-Redundancy	4	2	2	
Referential Clarity	2	3	2	Multiple unresolved refenrences
Focus	3	4	4	stays mostly on topic 
Structure	2	3	3	
Coherence	2	3	3	
Readability	2	4	4	not very readable due to lack of coherence and structure
Information Content	3	4	3	
Spelling	4	1	2	
Length	2	1	1	
Overall Quality	2	5	4	
