1001	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Reasons/comments (free text)	
Grammaticality	5	4	4		
Non-Redundancy	3	5	4	two sentences about treatments (2+3) 	
Referential Clarity	3	4	4	(2) whose feelings about ADHD medications, (1) other methods - which methods in the first place?	
Focus	5	5	3		
Structure	3	3	4		
Coherence	4	3	4		
Readability	3	3	5	: in (1 + 2)	
Information Content	2	5	5	only about treatment without going into detail	
Spelling	5	5	3		
Length	3	4	3	to long (3) does not provide new information	
Overall Quality	3	4	5		
