1007	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	2	3	3	
Non-Redundancy	4	2	3	
Referential Clarity	1	4	3	
Focus	2	3	4	
Structure	1	3	3	
Coherence	2	2	3	
Readability	2	4	4	
Information Content	2	5	4	
Spelling	5	2	4	
Length	1	5	5	
Overall Quality	1	5	4	
