1038	"Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)"	"Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)"	"Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) "	"Reasons/comments (free text)"
"Grammaticality"	5	4	5	
"Non-Redundancy"	5	5	4	
"Referential Clarity"	4	5	5	"It is not clear who “We” in the 7th sentence is"
"Focus"	4	5	3	"Since there is not much information delivered, I think this is not focussing well on the common theme of the summarized documents"
"Structure"	5	4	4	
"Coherence"	5	4	4	
"Readability"	5	4	5	
"Information Content"	3	5	4	"Overall it seems to be more like an advertisement and raising a lot of (rhetorical) questions which are not giving that much information"
"Spelling"	5	4	5	
"Length"	4	5	5	"Only about 500 characters"
"Overall Quality"	4	5	3	
