1005	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	5	2	4	
Non-Redundancy	5	2	3	
Referential Clarity	1	4	4	it is not clear, what the subject is
Focus	4	4	4	
Structure	3	3	3	
Coherence	3	2	2	
Readability	4	2	3	
Information Content	2	4	4	as the subject is not clear, the information contenc is not either
Spelling	5	1	5	
Length	4	2	4	
Overall Quality	2	3	3	
