1026	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	1	3	5	
Non-Redundancy	3	1	5	
Referential Clarity	4	2	4	
Focus	1	5	4	missed the topic
Structure	2	2	4	
Coherence	2	2	4	
Readability	1	4	3	
Information Content	1	5	5	missed the topic
Spelling	1	4	3	punctuation after spaces, escape sequences
Length	4	4	5	
Overall Quality	1	5	5	
