1013	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	5	1	5	
Non-Redundancy	5	1	5	
Referential Clarity	5	1	5	
Focus	3	4	3	
Structure	3	2	3	
Coherence	2	2	3	
Readability	4	2	4	
Information Content	1	5	4	
Spelling	5	2	5	
Length	1	3	4	
Overall Quality	1	5	3	
