1006	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	4	3	4	
Non-Redundancy	5	2	4	
Referential Clarity	1	4	5	
Focus	1	4	4	
Structure	1	4	4	
Coherence	2	5	5	
Readability	1	5	5	
Information Content	1	5	3	
Spelling	5	3	4	
Length	3	4	3	
Overall Quality	1	5	5	
