1003	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	1	3	4	
Non-Redundancy	2	4	3	
Referential Clarity	4	3	3	
Focus	4	3	4	
Structure	4	2	4	
Coherence	4	2	5	
Readability	3	4	3	
Information Content	2	5	4	
Spelling	4	2	5	
Length	5	4	4	
Overall Quality	2	5	3	
