1045	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	5	4	3	
Non-Redundancy	4	2	3	
Referential Clarity	4	3	3	
Focus	1	5	3	
Structure	1	5	3	
Coherence	3	5	4	
Readability	4	4	4	
Information Content	1	4	5	
Spelling	5	3	4	
Length	4	1	3	
Overall Quality	1	5	4	
