1046	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	5	2	5	
Non-Redundancy	5	2	5	
Referential Clarity	2	5	5	"""our son"", who is Spencer?"
Focus	1	5	5	topic missed
Structure	2	3	4	
Coherence	5	2	5	maximally coherent
Readability	4	2	4	
Information Content	3	3	3	
Spelling	4	3	5	misplaced whitespace
Length	3	3	5	
Overall Quality	1	4	5	
