1031	"Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)"	"Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)"	"Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) "	"Reasons/comments (free text)"
"Grammaticality"	3	4	4	"Sentence fragments. E.g. ""3 hours."""
"Non-Redundancy"	5	5	4	
"Referential Clarity"	3	5	5	"Many abbreviations which are unclear "
"Focus"	4	5	3	"Not that obvious what the summary is about"
"Structure"	3	4	4	"Confusing structure (enumerations, paragraph headlines) which does not make sense in the summary""s context anymore"
"Coherence"	4	4	4	
"Readability"	4	4	4	"Suffers from the bad structure and unresolvable abbreviations."
"Information Content"	4	5	4	"Hard to get information out of it"
"Spelling"	5	4	4	
"Length"	5	5	5	
"Overall Quality"	3	5	4	
