1043	"Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)"	"Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)"	"Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) "	"Reasons/comments (free text)"
"Grammaticality"	4	4	3	"The 4th sentence is ungrammatical (it seems that this line contains multiple sentences which are not separated suitably with punctuation). I don't know whether this is the right category for this critique but there are multiple sentences within the 4th line (which is violating the summary guidelines)"
"Non-Redundancy"	4	5	4	"The second part of the summary is slightly redundant."
"Referential Clarity"	5	5	4	
"Focus"	5	4	4	
"Structure"	5	4	5	
"Coherence"	5	4	4	
"Readability"	5	4	4	
"Information Content"	4	5	2	"Due to the redundancy in the second part of the summary, there is not that much gain of information"
"Spelling"	5	4	5	
"Length"	4	5	5	"The fragment '1.' in the 3rd sentence is wasting space"
"Overall Quality"	4	5	4	
